,Batch,Age,Grade,OS,"Censor (1=dead,0=alive)",Radio,Chemo,IDH(DNA&RNA),IDH1-DNA,IDH2-DNA,PTEN,IDH1-R32,IDH2-R172,TP53.1,EGFR,ATRX,EZH2
Batch,1.0,0.08863913434402268,0.30532664729050696,-0.15881103969576002,0.03545317989195724,0.008045726467413174,0.08705419741208166,-0.17812152094300393,-0.054707610721738284,-0.057090128143664085,0.09773026326253081,-0.15482315600067814,-0.05203442348519697,-0.0688059906078187,-0.1328051252337165,-0.05380323558137174,0.12383399228990055
Age,0.08863913434402268,1.0,0.28519135874135976,-0.18949097120436809,0.2198087739856796,0.11118495501711384,0.11224335451305582,-0.4280327968642782,-0.36367292142668173,-0.07366376713609592,0.10960879169633542,-0.38674988347009576,-0.10679853109983957,0.03197467659784661,-0.11115563093490123,0.11410874860032492,-0.003170069354046385
Grade,0.30532664729050696,0.28519135874135976,1.0,-0.5560576164411353,0.4371298257791583,-0.14409542312569532,0.26452637048859484,-0.5095810596788136,-0.4308152845902229,-0.1212728185038295,0.16588230975884052,-0.49504745131982786,-0.1581138830084192,-0.08799189765507291,-0.13251648618570688,-0.04134196158777328,0.16610404425082342
OS,-0.15881103969576002,-0.18949097120436809,-0.5560576164411353,1.0,-0.39856062303168854,0.2553896813193782,-0.15985922150500176,0.40491320426011856,0.3193725233659508,0.1285840033307931,-0.08943604796632347,0.3996797979996597,0.14643288320668113,0.13031952619459614,0.06638509538652301,0.15139402677053965,-0.14369493445540038
"Censor (1=dead,0=alive)",0.03545317989195724,0.2198087739856796,0.4371298257791583,-0.39856062303168854,1.0,-0.10341815921726,0.06254369237046907,-0.319464253300314,-0.27822079577856873,-0.028642484429079317,0.1039397422607512,-0.3074613988441574,-0.0597077933607409,-0.05757485566249088,-0.1187955054008232,-0.04967117496784806,0.07487747992221959
Radio,0.008045726467413174,0.11118495501711384,-0.14409542312569532,0.2553896813193782,-0.10341815921726,1.0,0.099497013386695,-0.053531805435114904,-0.06001259242632647,0.08096762592817534,0.07870771643010654,-0.05804342645256101,0.07379741249722992,-0.002148065695181639,-0.0381612628927407,0.035584414855503274,0.034587441854674314
Chemo,0.08705419741208166,0.11224335451305582,0.26452637048859484,-0.15985922150500176,0.06254369237046907,0.099497013386695,1.0,-0.17218404857521785,-0.1301100009333534,-0.07657774398178901,0.07819371788612349,-0.1662136317394165,-0.10390724888359995,0.0821718805228234,-0.10216846759181833,0.041634964935111894,-0.008479682596064575
IDH(DNA&RNA),-0.17812152094300393,-0.4280327968642782,-0.5095810596788136,0.40491320426011856,-0.319464253300314,-0.053531805435114904,-0.17218404857521785,1.0,0.8893234571868731,0.13014952543734762,-0.2151533387411299,0.8721282302293282,0.11862393277454829,0.10689126505857369,0.18392412448233827,-0.0482119179470154,-0.04787610896538779
IDH1-DNA,-0.054707610721738284,-0.36367292142668173,-0.4308152845902229,0.3193725233659508,-0.27822079577856873,-0.06001259242632647,-0.1301100009333534,0.8893234571868731,1.0,-0.14998093583842828,-0.15117757452779162,0.8374653255539509,-0.13669914193368377,0.11356965034683957,0.19706338945292376,-0.06080107247197853,-0.04183719689340784
IDH2-DNA,-0.057090128143664085,-0.07366376713609592,-0.1212728185038295,0.1285840033307931,-0.028642484429079317,0.08096762592817534,-0.07657774398178901,0.13014952543734762,-0.14998093583842828,1.0,-0.031139842122102496,-0.13672375856775462,0.9114434522594747,0.02366664874062127,-0.04979185058861232,-0.04610476660840085,-0.04915694695205156
PTEN,0.09773026326253081,0.10960879169633542,0.16588230975884052,-0.08943604796632347,0.1039397422607512,0.07870771643010654,0.07819371788612349,-0.2151533387411299,-0.15117757452779162,-0.031139842122102496,1.0,-0.20197906813845895,-0.028382205206584073,-0.0024733376638711568,-0.08523028285777298,-0.03119942528472353,-0.012204100345560522
IDH1-R32,-0.15482315600067814,-0.38674988347009576,-0.49504745131982786,0.3996797979996597,-0.3074613988441574,-0.05804342645256101,-0.1662136317394165,0.8721282302293282,0.8374653255539509,-0.13672375856775462,-0.20197906813845895,1.0,-0.12461597451488514,0.07223837256681098,0.18427344391781492,-0.009152782677417232,-0.04733387799575966
IDH2-R172,-0.05203442348519697,-0.10679853109983957,-0.1581138830084192,0.14643288320668113,-0.0597077933607409,0.07379741249722992,-0.10390724888359995,0.11862393277454829,-0.13669914193368377,0.9114434522594747,-0.028382205206584073,-0.12461597451488514,1.0,0.05535642123762865,-0.036576904992882485,-0.042021887643178255,-0.04480377743251376
TP53.1,-0.0688059906078187,0.03197467659784661,-0.08799189765507291,0.13031952619459614,-0.05757485566249088,-0.002148065695181639,0.0821718805228234,0.10689126505857369,0.11356965034683957,0.02366664874062127,-0.0024733376638711568,0.07223837256681098,0.05535642123762865,1.0,0.05313190247891717,0.058012559332000474,-0.06906352933429713
EGFR,-0.1328051252337165,-0.11115563093490123,-0.13251648618570688,0.06638509538652301,-0.1187955054008232,-0.0381612628927407,-0.10216846759181833,0.18392412448233827,0.19706338945292376,-0.04979185058861232,-0.08523028285777298,0.18427344391781492,-0.036576904992882485,0.05313190247891717,1.0,-0.06822966775830812,-0.010708687443800491
ATRX,-0.05380323558137174,0.11410874860032492,-0.04134196158777328,0.15139402677053965,-0.04967117496784806,0.035584414855503274,0.041634964935111894,-0.0482119179470154,-0.06080107247197853,-0.04610476660840085,-0.03119942528472353,-0.009152782677417232,-0.042021887643178255,0.058012559332000474,-0.06822966775830812,1.0,-0.056349570045217685
EZH2,0.12383399228990055,-0.003170069354046385,0.16610404425082342,-0.14369493445540038,0.07487747992221959,0.034587441854674314,-0.008479682596064575,-0.04787610896538779,-0.04183719689340784,-0.04915694695205156,-0.012204100345560522,-0.04733387799575966,-0.04480377743251376,-0.06906352933429713,-0.010708687443800491,-0.056349570045217685,1.0
